ID,X,Y,Z
71400,0.850325,1.03289,4.8238
71399,2.23543,-2.43683,-3.26997
71398,2.23543,-2.43683,-3.26997
71396,2.55023,-2.35668,-2.94709
71395,0.693103,1.40093,6.06472
71394,0.916561,0.463627,4.24226
71393,0.822014,0.679735,4.98349
71392,0.612221,1.18692,6.12777
71390,1.23432,-0.546888,3.73691
71389,0.693129,0.40457,6.03453
71388,0.662093,0.219286,6.22737
71387,0.648553,0.293548,6.40223
71386,0.669253,0.278351,6.39826
71385,0.667966,1.78722,5.95306
71384,0.704644,1.72165,5.96944
71383,0.724553,1.65404,5.85033
71382,0.767478,1.50996,5.37413
71381,0.699341,1.65267,5.98718
71380,0.721444,1.6321,5.84129
71379,0.547636,1.43437,5.24801
71378,1.02944,0.757431,3.39492
71377,2.27045,-1.66801,-3.44803
71376,2.47245,-1.68909,-3.35939
71375,-0.44902,-0.0172297,1.91806
71373,2.22071,-1.7973,-3.46188
71372,0.70264,1.58052,5.9967
71371,0.70264,1.58052,5.9967
71370,2.07516,-2.16861,-3.47572
71369,2.3059,-2.10161,-3.23352
71368,0.771781,1.33273,5.45336
71367,0.864348,0.998903,4.71798
71366,0.629754,1.516,6.02239
71365,0.692405,1.51431,6.02886
71364,2.27982,-2.56968,-3.15749
71363,0.625624,1.44555,6.0421
71361,0.934679,0.00828309,4.09859
71360,0.931852,-0.010153,4.07209
71359,0.711497,0.977193,5.88063
71358,0.972326,-0.615562,3.71976
71357,0.735762,0.721902,5.62078
71356,1.25786,-0.589561,3.76199
71355,0.875349,-0.246495,4.5254
71354,0.687474,0.925445,6.04552
71353,0.883379,-0.251893,4.63498
71352,0.642805,0.844385,6.24326
71351,0.769442,-0.0722668,5.35201
71350,0.722177,0.21382,5.78477
71348,0.635378,0.721316,6.28239
71347,0.690059,0.279678,6.00402
71346,0.709186,0.140265,5.93113
71345,0.601297,0.468414,6.36141
71344,0.627198,0.427102,6.3789
71343,0.666449,0.301553,6.40153
71342,0.690289,0.295023,6.39801
71341,1.0265,1.7867,5.99238
71340,1.19341,1.45738,4.92384
71339,0.374479,1.22531,4.43762
71338,0.808058,1.47555,5.24682
71337,1.00397,1.31671,4.7053
71336,0.953633,1.04198,4.03186
71335,1.04849,0.707727,3.33593
71334,0.632879,1.58468,6.00122
71333,0.764739,1.3821,5.52453
71332,0.778535,1.33733,5.39043
71331,0.854029,1.16437,4.85012
71330,1.306,0.362975,3.47422
71329,0.744952,1.27801,5.62652
71328,0.376374,0.133532,3.46542
71327,-3.28687,-7.06652,-8.59454
71326,0.741424,1.0083,5.53657
71325,1.01596,-0.241406,3.64045
71324,0.688607,1.05208,5.9132
71323,0.58417,1.27215,6.32703
71322,0.944176,-0.393173,4.18171
71321,0.721486,0.625025,5.6531
71320,0.721007,0.642748,5.64513
71318,0.681038,0.804011,5.91167
71317,0.681038,0.804011,5.91167
71316,0.796818,-0.0182374,5.1701
71315,0.770726,0.0419357,5.41518
71314,-0.210277,-3.3309,1.98057
71313,0.703566,0.20712,5.79007
71312,0.668228,0.44987,6.3419
71311,0.639351,0.396876,6.38599
71310,1.46297,-0.969015,2.78716
71309,0.749385,0.28634,6.42044
71293,0.865931,1.80385,5.96481
71292,0.688525,0.703194,6.01409
71290,0.812032,1.06199,5.1646
71288,1.08117,-0.465252,3.68008
71286,0.887162,0.899837,4.60931
71285,0.887162,0.899837,4.60931
71284,0.532123,0.29815,6.41611
71280,0.84226,1.51502,6.03935
71270,0.683402,0.325638,6.06976
71268,0.913187,0.938213,4.49939
71267,0.619368,1.65239,6.00806
71266,0.832797,0.265928,5.0033
71265,0.592474,0.472589,6.37701
71264,0.560081,0.553958,6.39746
71263,0.827298,1.84284,5.95428
71262,0.699848,1.40144,6.04638
71261,0.536071,0.958452,6.50027
71260,1.07396,1.86181,5.98494
71259,0.84143,0.951496,4.83629
71258,1.04657,1.86809,6.01154
71257,1.05638,1.83133,5.99998
71256,1.05638,1.83133,5.99998
71255,0.727833,1.74766,5.93929
71254,0.72333,1.68218,5.96508
71253,0.713446,1.48231,6.02821
71252,0.693748,1.68532,5.97333
71251,0.693748,1.68532,5.97333
71250,0.645021,1.7502,5.92908
71249,0.641927,1.61633,5.98512
71248,0.638324,1.5462,6.00613
71247,0.634676,1.40846,6.05753
71246,0.555436,1.04146,6.29976
71245,0.537436,0.992754,6.56421
71244,0.873016,0.9483,4.53275
71243,0.849347,0.675785,4.76294
71242,1.03748,1.84493,6.0068
71241,0.722478,1.26917,5.75233
71240,0.724373,1.21419,5.76792
71239,0.739161,1.60587,5.94831
71238,0.669645,0.270219,6.41526
71237,0.719938,1.77368,5.94839
71236,0.607305,0.264006,6.45376
71235,0.644269,1.7918,5.93312
71234,0.635124,1.4784,6.03014
71233,1.11185,0.576236,3.3807
71232,1.05983,0.540513,3.38568
71231,1.10672,1.8303,5.96372
71230,0.865101,0.638409,4.63951
71229,0.748086,1.32564,5.56958
71228,0.74724,1.15856,5.71603
71227,0.711101,1.66557,5.97988
71226,0.707825,1.63557,5.98089
71225,0.704543,1.599,5.99962
71224,0.705863,1.57006,6.00906
71223,0.6909,1.33893,6.08163
71222,0.683515,1.17051,6.13132
71221,0.67413,0.952329,6.20562
71220,0.655378,0.644016,6.30277
71219,0.64834,0.432879,6.37533
71218,0.711443,1.8965,5.95247
71217,0.711443,1.8965,5.95247
71216,0.681751,1.66747,5.98491
71215,0.671822,1.53108,6.02732
71214,0.649339,1.50022,6.02738
71213,0.667998,1.43428,6.05703
71212,0.590387,0.606783,6.31837
71211,0.69408,1.89462,5.95738
71210,0.69408,1.89462,5.95738
71209,0.664525,1.73615,5.96476
71208,0.655814,1.63664,5.98269
71207,0.658182,1.60015,6.00038
71206,0.597666,1.06149,6.18555
71205,0.610944,1.59718,6.04809
71204,1.11478,-0.454904,3.72245
71203,0.920605,0.481468,4.17381
71202,0.936588,0.00895873,3.99879
71201,0.895378,0.912518,4.52866
71200,1.10312,1.81762,5.96833
71198,1.04063,1.82828,6.01259
71197,0.800707,1.17665,5.11782
71196,0.777104,1.37579,5.40899
71195,0.292253,0.793298,4.68627
71194,0.689134,0.648848,5.96575
71193,0.714068,1.37031,5.87032
71192,0.691117,0.714206,6.10176
71191,0.67349,0.703273,6.11837
71190,0.729727,1.77554,5.92837
71189,0.720713,1.64817,5.97059
71188,0.651325,0.545582,6.33097
71187,0.66435,0.415084,6.35856
71186,0.658079,0.398929,6.37229
71185,0.640657,0.275156,6.43748
71184,0.640657,0.275156,6.43748
71183,0.617844,0.29084,6.4232
71182,0.656369,1.77304,5.93615
71181,0.615301,1.41262,6.0632
71180,0.587929,0.638662,6.3038
71179,1.09776,0.518033,3.4058
71178,0.949999,-0.221225,3.99944
71177,0.94781,-0.397963,4.07122
71175,0.844872,1.13122,4.886
71174,1.03364,1.85247,6.00566
71173,0.783858,1.33214,5.27815
71172,0.794451,1.20809,5.2684
71171,0.754477,1.5682,5.3531
71170,0.762913,1.46857,5.37138
71169,0.782224,1.33076,5.40736
71168,0.707356,1.0218,5.84307
71167,0.700103,0.628931,5.94498
71166,0.70723,0.975347,5.90839
71165,0.819329,1.90612,5.98234
71164,0.69757,0.989697,6.17206
71163,0.723838,1.70199,5.95276
71162,0.707043,1.37983,6.05505
71161,0.662919,1.00978,6.18925
71160,0.710591,1.8234,5.94219
71159,0.714146,1.81221,5.94914
71158,0.602514,0.466918,6.37975
71157,0.622642,1.33793,6.08184
